title,author,price,rating,number_of_ratings,product_url
"Elden Ring Official Strategy Guide, Vol. 2 : Shards of the Shattering",Future Press,$48.22,4.67,3,https://www.bookdepository.com/Elden-Ring-Official-Strategy-Guide-Vol-2-Shards-Shattering-Future-Press/9783869931197
The Shattered Lands,Brenna Nation,$21.56,4.65,101,https://www.bookdepository.com/Shattered-Lands-Brenna-Nation/9780241645260
Remnants of Filth: Yuwu (Novel) Vol. 1,Rou Bao Bu Chi Rou,$27.57,4.64,14,https://www.bookdepository.com/Remnants-Filth-Yuwu-Novel-Vol-1-Rou-Bao-Bu-Chi-Rou/9781685794675
Before the Coffee Gets Cold,Toshikazu Kawaguchi,$19.15,3.74,220207,https://www.bookdepository.com/Before-Coffee-Gets-Cold-Toshikazu-Kawaguchi/9781529029581
"The Boy, The Mole, The Fox and The Horse",Charlie Mackesy,$33.88,4.56,148104,https://www.bookdepository.com/Boy-Mole-Fox-Horse-Charlie-Mackesy/9781529105100
The Invisible String,Patrice Karst,$17.26,4.48,2698,https://www.bookdepository.com/Invisible-String-Patrice-Karst/9780316486231
12 Rules for Life,Jordan B. Peterson,$23.69,3.93,186263,https://www.bookdepository.com/12-Rules-for-Life-Jordan-B-Peterson/9780141988511
Once Upon A Broken Heart,Stephanie Garber,$19.76,4.14,92216,https://www.bookdepository.com/Once-Upon-Broken-Heart-Stephanie-Garber/9781529380941
If He Had Been with Me,Laura Nowlin,$21.98,4,66405,https://www.bookdepository.com/If-He-Had-Been-with-Me-Laura-Nowlin/9781728205489
Harry Potter Box Set: The Complete Collection (Children's Paperback),J. K. Rowling,$118.45,4.74,277394,https://www.bookdepository.com/Harry-Potter-Box-Set-Complete-Collection-Childrens-Paperback-J-K-Rowling/9781408856772
If We Were Villains: The Sensational TikTok Book Club pick,M. L. Rio,$21.68,4.23,154719,https://www.bookdepository.com/If-We-Were-Villains-Sensational-TikTok-Book-Club-pick-M-L-Rio/9781785656477
A Court of Thorns and Roses,Sarah J. Maas,$21.68,4.2,1397414,https://www.bookdepository.com/Court-Thorns-Roses-Sarah-J-Maas/9781526605399
A Good Girl's Guide to Murder,Holly Jackson,$21.30,4.35,553033,https://www.bookdepository.com/Good-Girls-Guide-Murder-Holly-Jackson/9781405293181
Six of Crows: Collector's Edition,Leigh Bardugo,$36.90,4.49,772260,https://www.bookdepository.com/Six-Crows-Collectors-Edition-Leigh-Bardugo/9781510106284
The Very Hungry Caterpillar,Eric Carle,$18.75,4.32,477184,https://www.bookdepository.com/Very-Hungry-Caterpillar-Eric-Carle/9780241003008
Better Than the Movies,Lynn Painter,$22.48,4.3,117886,https://www.bookdepository.com/Better-Than-Movies-Lynn-Painter/9781534467637
Crooked Kingdom Collector's Edition,Leigh Bardugo,$35.96,4.61,520180,https://www.bookdepository.com/Crooked-Kingdom-Collectors-Edition-Leigh-Bardugo/9781510107038
TummyTime (R): Happy Baby,Duopress Labs,$17.90,3.71,7,https://www.bookdepository.com/TummyTime-R-Happy-Baby-Duopress-Labs/9781947458796
The Girl Who Fell Beneath the Sea,Axie Oh,$18.19,4.16,33947,https://www.bookdepository.com/Girl-Who-Fell-Beneath-Sea-Axie-Oh/9781529391732
Where's Spot?,Eric Hill,$16.19,4.13,19025,https://www.bookdepository.com/Wheres-Spot-Eric-Hill/9780723263661
Teen Titans: Robin,Kami Garcia,$30.06,4.24,313,https://www.bookdepository.com/Teen-Titans-Robin-Kami-Garcia/9781779512246
The Ballad of Never After,Stephanie Garber,$33.74,4.56,47189,https://www.bookdepository.com/Ballad-Never-After-Stephanie-Garber/9781529380965
The Tiger Who Came to Tea,Judith Kerr,$14.08,4.25,16133,https://www.bookdepository.com/Tiger-Who-Came-Tea-Judith-Kerr/9780007215997
Tales from the Cafe,Toshikazu Kawaguchi,$18.88,4,34572,https://www.bookdepository.com/Tales-from-Cafe-Toshikazu-Kawaguchi/9781529050868
The Inheritance Games,Jennifer Lynn Barnes,$21.98,4.22,401582,https://www.bookdepository.com/Inheritance-Games-Jennifer-Lynn-Barnes/9780759555402
The Final Gambit,Jennifer Barnes,$24.64,4.18,127898,https://www.bookdepository.com/Final-Gambit-Jennifer-Barnes/9780316466301
The Last Bear,Hannah Gold,$19.27,4.32,3148,https://www.bookdepository.com/Last-Bear-Hannah-Gold/9780008411312
Escape from Mr. Lemoncello's Library,Chris Grabenstein,$17.98,4.13,52784,https://www.bookdepository.com/Escape-from-Mr-Lemoncellos-Library-Chris-Grabenstein/9780307931474
Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs (Light Novel) Vol. 2,Yomu Mishima,$27.98,4.41,462,https://www.bookdepository.com/Trapped-Dating-Sim-World-Otome-Games-is-Tough-for-Mobs-Light-Novel-Vol-2-Yomu-Mishima/9781648271977
Tabby McTat,Julia Donaldson,$18.13,4.11,2194,https://www.bookdepository.com/Tabby-McTat-Julia-Donaldson/9781407170701
Have You Filled A Bucket Today?,Carol McCloud,$18.26,4.41,5434,https://www.bookdepository.com/Have-You-Filled-Bucket-Today-Carol-McCloud/9780996099936
Totally Kosher,Chanie Apfelbaum,$65.62,5,1,https://www.bookdepository.com/Totally-Kosher-Chanie-Apfelbaum/9780593232613
Bored of Lunch: The Healthy Slow Cooker Book,Nathan Anthony,$40.43,4.35,20,https://www.bookdepository.com/Bored-Lunch-Healthy-Slow-Cooker-Book-Nathan-Anthony/9781529903546
Death to Jar Sauce,Nat's What I Reckon,$30.85,4.46,70,https://www.bookdepository.com/Death-Jar-Sauce-Nats-What-I-Reckon/9781761045820
Glucose Goddess Method,Jessie Inchauspe,$35.64,4,6,https://www.bookdepository.com/Glucose-Goddess-Method-Jessie-Inchauspe/9781668024522
Unreasonable Hospitality,Will Guidara,$41.24,4.53,1147,https://www.bookdepository.com/Unreasonable-Hospitality-Will-Guidara/9780593418574
Sabai,Pailin Chongchitnant,$60.00,5,1,https://www.bookdepository.com/Sabai-Pailin-Chongchitnant/9780525611714
Of Cabbages and Kimchi,James Read,$39.43,5,1,https://www.bookdepository.com/Cabbages-Kimchi-James-Read/9780241455005
How to make the best coffee at home,James Hoffmann,$32.35,4.42,662,https://www.bookdepository.com/How-make-best-coffee-at-home-James-Hoffmann/9781784727246
Bored of Lunch: The Healthy Air Fryer Book,Nathan Anthony,$40.38,5,2,https://www.bookdepository.com/Bored-Lunch-Healthy-Air-Fryer-Book-Nathan-Anthony/9781529903522
Allen Carr's Easy Way to Stop Smoking,Allen Carr,$20.77,4.25,13617,https://www.bookdepository.com/Allen-Carrs-Easy-Way-Stop-Smoking-Allen-Carr/9781405923316
Medical Medium Liver Rescue,Anthony William,$73.34,4.13,2044,https://www.bookdepository.com/Medical-Medium-Liver-Rescue-Anthony-William/9781401954406
PlantYou,Carleigh Bodrug,$53.70,4.46,504,https://www.bookdepository.com/PlantYou-Carleigh-Bodrug/9780306923043
Taste,Stanley Tucci,$21.24,4.23,52304,https://www.bookdepository.com/Taste-Stanley-Tucci/9780241501009
Food for Life,Tim Spector,$44.88,4.21,19,https://www.bookdepository.com/Food-for-Life-Tim-Spector/9781787330498
Ottolenghi SIMPLE,Yotam Ottolenghi,$66.47,4.29,8012,https://www.bookdepository.com/Ottolenghi-SIMPLE-Yotam-Ottolenghi/9781785031168
The Waiting Game,Txema Salvans,$136.15,5,2,https://www.bookdepository.com/Waiting-Game-Txema-Salvans/9786078295050
Colega,Elena G. González,$61.10,3,2,https://www.bookdepository.com/Colega-Elena-G-González/9788477116721
Reina de sombras,"MAAS, SARAH J.",$35.90,4.56,463333,https://www.bookdepository.com/Reina-de-sombras-MAAS-SARAH-J/9786073152464
Trilogía Nacidos de la Bruma [Mistborn] (pack con: El imperio final | El pozo de la Ascensión | El héroe de las Eras),Brandon Sanderson,$65.77,4.59,49329,https://www.bookdepository.com/Trilogía-Nacidos-de-la-Bruma-Mistborn-pack-con-El-imperio-final-El-pozo-de-la-Ascensión-El-héroe-de-las-Eras-Brandon-Sanderson/9788413143187
Los Cuatro Acuerdos,Miguel Ruiz,$25.25,4.18,328867,https://www.bookdepository.com/Los-Cuatro-Acuerdos-Miguel-Ruiz/9788479532536
Como Hacer Que Te Pasen Cosas Buenas,Marian Rojas,$31.70,4.13,6034,https://www.bookdepository.com/Como-Hacer-Que-Te-Pasen-Cosas-Buenas-Marian-Rojas/9786070756924
CHAINSAW MAN 12,Tatsuki Fujimoto,$25.24,4.34,2342,https://www.bookdepository.com/CHAINSAW-MAN-12-Tatsuki-Fujimoto/9788467959741
GRANDMASTER OF DEMONIC CULTIVATION 02 (MO DAO ZU SHI).,MO XIANG TONG XIU,$39.86,4.66,167,https://www.bookdepository.com/GRANDMASTER-DEMONIC-CULTIVATION-02-MO-DAO-ZU-SHI-MO-XIANG-TONG-XIU/9788467958416
Novela Secreta 2,Brandon Sanderson,$27.36,4,12,https://www.bookdepository.com/Novela-Secreta-2-Brandon-Sanderson/9788418037900
Pelo de Gato,Elvia Ardalani,$46.23,5,3,https://www.bookdepository.com/Pelo-de-Gato-Elvia-Ardalani/9788412407846
Diabetes sin problemas. El control de la diabetes con la ayuda del poder del metabolismo,Frank Suárez,$33.93,4.43,63,https://www.bookdepository.com/Diabetes-sin-problemas-El-control-de-la-diabetes-con-la-ayuda-del-poder-del-metabolismo-Frank-Suárez/9780988221864
"Biblia Ultrafina, Nbla, Letra Gigante, Leathersoft, Negro, Letra Roja / Spanish Ultrathin Holy Bible, Nbla, Gp, Leathersoft, Black, Letter Edition",Nbla-Nueva Biblia de Las Américas,$63.53,5,3,https://www.bookdepository.com/Biblia-Ultrafina-Nbla-Letra-Gigante-Leathersoft-Negro-Letra-Roja-Spanish-Ultrathin-Holy-Bible-Nbla-Gp-Leathersoft-Black-Letter-Edition-Nbla-Nueva-Biblia-de-Las-Américas/9780829770155
